comuna;candidato;partido;lista;sector;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;mesas_porcentaje
ALGARROBO;Marco Antonio Gonzalez Candia;RN;Z - CHILE VAMOS;Derecha;4250;0,27588445309964299;15405;46;46;1,000000000000000
ALGARROBO;Veronica Maricel Cueto Cueto;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2905;0,18857513794222655;15405;46;46;1,000000000000000
ALGARROBO;Marcela Maritza Mansilla Potocnjak;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2677;0,17377474845829277;15405;46;46;1,000000000000000
ALGARROBO;Alejandro Felipe Ricotti Sepulveda;IND;CANDIDATURAS INDEPENDIENTES;Independiente;2425;0,15741642323920804;15405;46;46;1,000000000000000
ALGARROBO;Carlos Orlando Tapia Aviles;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1089;0,07069133398247322;15405;46;46;1,000000000000000
ALGARROBO;Maria Luisa Hamilton Velasco;IND;CANDIDATURAS INDEPENDIENTES;Independiente;365;0,02369360597208698;15405;46;46;1,000000000000000
ALGARROBO;Gaston Dubournais Riveros;IND;F - PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Independiente;332;0,02155144433625446;15405;46;46;1,000000000000000
ALGARROBO;Nulo/Blanco;;NA;Otros;1362;0,08841285296981499;15405;46;46;1,000000000000000
ALHUE;Marcela Chamorro Macias;IND;H - CONTIGO CHILE MEJOR;Izquierda;3490;0,59750042800890257;5841;17;17;1,000000000000000
ALHUE;Jose Andres Arellano Blanco;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1828;0,31296010957027909;5841;17;17;1,000000000000000
ALHUE;Andrea Elizabeth Galvez Sepulveda;REP;Y - REPUBLICANOS E INDEPENDIENTES;Derecha;172;0,02944701249785996;5841;17;17;1,000000000000000
ALHUE;Patricio Bastias Gonzalez;IND;Z - CHILE VAMOS;Derecha;109;0,01866118815271358;5841;17;17;1,000000000000000
ALHUE;Nulo/Blanco;;NA;Otros;242;0,04143126177024482;5841;17;17;1,000000000000000
ALTO BIOBIO;Felix Segundo Vita Manquepi;IND;H - CONTIGO CHILE MEJOR;Izquierda;2126;0,41825693488097582;5083;17;17;1,000000000000000
ALTO BIOBIO;Maria Cristina Medina Castro;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1530;0,30100334448160537;5083;17;17;1,000000000000000
ALTO BIOBIO;Andres Puelma Huenchucan;IND;CANDIDATURAS INDEPENDIENTES;Independiente;1052;0,20696439110761361;5083;17;17;1,000000000000000
ALTO BIOBIO;Miriam Curriao Espuñan;IND;CANDIDATURAS INDEPENDIENTES;Independiente;194;0,03816643714341924;5083;17;17;1,000000000000000
