comuna;candidato;partido;sector;lista;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;mesas_porcentaje
ALHUE;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;3671;0,6456208230742174;5686;17;17;1,000000000000000
ALHUE;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;1756;0,3088287020752726;5686;17;17;1,000000000000000
ALHUE;Nulo/Blanco;;Otros;NA;259;0,0455504748505100;5686;17;17;1,000000000000000
BUIN;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;36263;0,4709480519480519;77000;223;223;1,000000000000000
BUIN;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;34535;0,4485064935064935;77000;223;223;1,000000000000000
BUIN;Nulo/Blanco;;Otros;NA;6202;0,0805454545454545;77000;223;223;1,000000000000000
CALERA DE TANGO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;9267;0,4589895988112927;20190;59;59;1,000000000000000
CALERA DE TANGO;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;9655;0,4782070331847449;20190;59;59;1,000000000000000
CALERA DE TANGO;Nulo/Blanco;;Otros;NA;1268;0,0628033680039624;20190;59;59;1,000000000000000
CERRILLOS;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;28355;0,5188282222059577;54652;167;169;0,988165680473373
CERRILLOS;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;21998;0,4025104296274610;54652;167;169;0,988165680473373
CERRILLOS;Nulo/Blanco;;Otros;NA;4299;0,0786613481665813;54652;167;169;0,988165680473373
CERRO NAVIA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;50096;0,5412331593902268;92559;281;281;1,000000000000000
CERRO NAVIA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;34127;0,3687053663068962;92559;281;281;1,000000000000000
CERRO NAVIA;Nulo/Blanco;;Otros;NA;8336;0,0900614743028771;92559;281;281;1,000000000000000
COLINA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;31861;0,3522888102609465;90440;271;275;0,985454545454545
COLINA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;51710;0,5717602830605927;90440;271;275;0,985454545454545
COLINA;Nulo/Blanco;;Otros;NA;6869;0,0759509066784609;90440;271;275;0,985454545454545
CONCHALI;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;48472;0,5286278273387571;91694;284;285;0,996491228070175
CONCHALI;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;34715;0,3785962004056972;91694;284;285;0,996491228070175
CONCHALI;Nulo/Blanco;;Otros;NA;8507;0,0927759722555456;91694;284;285;0,996491228070175
CURACAVI;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;12133;0,4821953739766314;25162;74;78;0,948717948717949
CURACAVI;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;11320;0,4498847468404737;25162;74;78;0,948717948717949
CURACAVI;Nulo/Blanco;;Otros;NA;1709;0,0679198791828948;25162;74;78;0,948717948717949
EL BOSQUE;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;57475;0,5148936170212766;111625;335;339;0,988200589970501
EL BOSQUE;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;43870;0,3930123180291153;111625;335;339;0,988200589970501
EL BOSQUE;Nulo/Blanco;;Otros;NA;10280;0,0920940649496081;111625;335;339;0,988200589970501
EL MONTE;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;12977;0,4798299131077833;27045;77;77;1,000000000000000
EL MONTE;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;11653;0,4308744684784618;27045;77;77;1,000000000000000
EL MONTE;Nulo/Blanco;;Otros;NA;2415;0,0892956184137549;27045;77;77;1,000000000000000
ESTACION CENTRAL;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;48408;0,5068263673674512;95512;333;333;1,000000000000000
ESTACION CENTRAL;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;38759;0,4058024122623335;95512;333;333;1,000000000000000
ESTACION CENTRAL;Nulo/Blanco;;Otros;NA;8345;0,0873712203702153;95512;333;333;1,000000000000000
HUECHURABA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;34312;0,5105420566310057;67207;197;199;0,989949748743719
HUECHURABA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;28114;0,4183195202880652;67207;197;199;0,989949748743719
HUECHURABA;Nulo/Blanco;;Otros;NA;4781;0,0711384230809291;67207;197;199;0,989949748743719
INDEPENDENCIA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;30040;0,4644905911276730;64673;230;231;0,995670995670996
INDEPENDENCIA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;29006;0,4485024662533051;64673;230;231;0,995670995670996
INDEPENDENCIA;Nulo/Blanco;;Otros;NA;5627;0,0870069426190219;64673;230;231;0,995670995670996
ISLA DE MAIPO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;12559;0,4521041074192735;27779;80;80;1,000000000000000
