comuna;candidato;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;orden;mesas_porcentaje;partido;sector
ALHUE;Franco Parisi Fernández;702;0,20418848167539266;3438;10;17;1;0,5882352941176471;Ninguno;Ninguno
ALHUE;Jeannette Jara Román;907;0,26381617219313552;3438;10;17;2;0,5882352941176471;Ninguno;Ninguno
ALHUE;Marco Antonio Enríquez-Ominami Gumucio;32;0,00930773705642816;3438;10;17;3;0,5882352941176471;Ninguno;Ninguno
ALHUE;Johannes Kaiser Barents-Von Hohenhagen;464;0,13496218731820825;3438;10;17;4;0,5882352941176471;Ninguno;Ninguno
ALHUE;José Antonio Kast Rist;847;0,24636416521233276;3438;10;17;5;0,5882352941176471;Ninguno;Ninguno
ALHUE;Eduardo Antonio Artés Brichetti;8;0,00232693426410704;3438;10;17;6;0,5882352941176471;Ninguno;Ninguno
ALHUE;Evelyn Matthei Fornet;314;0,09133216986620128;3438;10;17;7;0,5882352941176471;Ninguno;Ninguno
ALHUE;Harold Mayne-Nicholls Secul;28;0,00814426992437464;3438;10;17;8;0,5882352941176471;Ninguno;Ninguno
ALHUE;Nulo/Blanco;136;0,03955788248981966;3438;10;17;99;0,5882352941176471;Ninguno;Ninguno
BUIN;Franco Parisi Fernández;4973;0,18526245203591252;26843;77;228;1;0,3377192982456140;Ninguno;Ninguno
BUIN;Jeannette Jara Román;6109;0,22758260999143165;26843;77;228;2;0,3377192982456140;Ninguno;Ninguno
BUIN;Marco Antonio Enríquez-Ominami Gumucio;291;0,01084081511008457;26843;77;228;3;0,3377192982456140;Ninguno;Ninguno
BUIN;Johannes Kaiser Barents-Von Hohenhagen;3128;0,11652944901836605;26843;77;228;4;0,3377192982456140;Ninguno;Ninguno
BUIN;José Antonio Kast Rist;8353;0,31117982341765077;26843;77;228;5;0,3377192982456140;Ninguno;Ninguno
BUIN;Eduardo Antonio Artés Brichetti;137;0,00510375144357933;26843;77;228;6;0,3377192982456140;Ninguno;Ninguno
BUIN;Evelyn Matthei Fornet;2641;0,09838691651454755;26843;77;228;7;0,3377192982456140;Ninguno;Ninguno
BUIN;Harold Mayne-Nicholls Secul;363;0,01352307864247662;26843;77;228;8;0,3377192982456140;Ninguno;Ninguno
BUIN;Nulo/Blanco;848;0,03159110382595090;26843;77;228;99;0,3377192982456140;Ninguno;Ninguno
CALERA DE TANGO;Franco Parisi Fernández;774;0,14603773584905660;5300;15;58;1;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Jeannette Jara Román;1206;0,22754716981132075;5300;15;58;2;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Marco Antonio Enríquez-Ominami Gumucio;67;0,01264150943396226;5300;15;58;3;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Johannes Kaiser Barents-Von Hohenhagen;774;0,14603773584905660;5300;15;58;4;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;José Antonio Kast Rist;1472;0,27773584905660376;5300;15;58;5;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Eduardo Antonio Artés Brichetti;23;0,00433962264150943;5300;15;58;6;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Evelyn Matthei Fornet;769;0,14509433962264151;5300;15;58;7;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Harold Mayne-Nicholls Secul;64;0,01207547169811321;5300;15;58;8;0,2586206896551724;Ninguno;Ninguno
CALERA DE TANGO;Nulo/Blanco;151;0,02849056603773585;5300;15;58;99;0,2586206896551724;Ninguno;Ninguno
CERRILLOS;Franco Parisi Fernández;1591;0,16687644220683867;9534;29;171;1;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Jeannette Jara Román;2963;0,31078246276484162;9534;29;171;2;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Marco Antonio Enríquez-Ominami Gumucio;138;0,01447451227186910;9534;29;171;3;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Johannes Kaiser Barents-Von Hohenhagen;1311;0,13750786658275646;9534;29;171;4;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;José Antonio Kast Rist;1806;0,18942731277533040;9534;29;171;5;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Eduardo Antonio Artés Brichetti;76;0,00797147052653661;9534;29;171;6;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Evelyn Matthei Fornet;1189;0,12471155863226348;9534;29;171;7;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Harold Mayne-Nicholls Secul;162;0,01699181875393329;9534;29;171;8;0,1695906432748538;Ninguno;Ninguno
CERRILLOS;Nulo/Blanco;298;0,03125655548563037;9534;29;171;99;0,1695906432748538;Ninguno;Ninguno
CERRO NAVIA;Franco Parisi Fernández;5125;0,19764751253374468;25930;78;279;1;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;Jeannette Jara Román;8399;0,32391052834554568;25930;78;279;2;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;Marco Antonio Enríquez-Ominami Gumucio;452;0,01743154647126880;25930;78;279;3;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;Johannes Kaiser Barents-Von Hohenhagen;2990;0,11531045121480910;25930;78;279;4;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;José Antonio Kast Rist;4908;0,18927882761280371;25930;78;279;5;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;Eduardo Antonio Artés Brichetti;237;0,00913999228692634;25930;78;279;6;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;Evelyn Matthei Fornet;2451;0,09452371770150404;25930;78;279;7;0,2795698924731183;Ninguno;Ninguno
CERRO NAVIA;Harold Mayne-Nicholls Secul;283;0,01091399922869263;25930;78;279;8;0,2795698924731183;Ninguno;Ninguno
